ts_unix,iteration,kem_alg,sig_alg,hello_bytes,response_bytes,verify_time_ms,verify_ok,encaps_time_ms,receiver_total_ms,kem_pk_bytes,kem_ct_bytes,mem_recv_rss_kb,cpu_recv_user_ms,cpu_recv_sys_ms
1779643468.46109,12,ML-KEM-768,ML-DSA-44,6712,1650,0.02832100017258199,1,0.01516900010756217,0.09837500010689837,1184,1088,26368,0.0,0.0
1779643468.4615004,13,ML-KEM-768,ML-DSA-44,6712,1650,0.02841100013029063,1,0.027556000077311182,0.11831400024675531,1184,1088,26368,0.0,0.0
1779643468.4620147,14,ML-KEM-768,ML-DSA-44,6712,1650,0.028435000331228366,1,0.015305000033549732,0.10365000025558402,1184,1088,26368,0.0,0.0
1779643468.46236,15,ML-KEM-768,ML-DSA-44,6712,1650,0.028462000045692548,1,0.015184999938355759,0.09744599992700387,1184,1088,26368,0.0,0.0
1779643468.462722,16,ML-KEM-768,ML-DSA-44,6712,1650,0.028557999939948786,1,0.015227000403683633,0.09906300010698033,1184,1088,26368,0.0,0.0
1779643468.4631715,17,ML-KEM-768,ML-DSA-44,6712,1650,0.028406000183167635,1,0.015592999716318445,0.10348999967391137,1184,1088,26368,0.0,0.0
1779643468.4635346,18,ML-KEM-768,ML-DSA-44,6712,1650,0.041757999952096725,1,0.01808299975891714,0.12330099980317755,1184,1088,26368,0.0,0.0
1779643468.4639397,19,ML-KEM-768,ML-DSA-44,6712,1650,0.031244000183505705,1,0.017561000277055427,0.11722899989763391,1184,1088,26368,0.0,0.0
1779643468.464274,20,ML-KEM-768,ML-DSA-44,6712,1650,0.02836900011971011,1,0.014916000054654432,0.0992589998531912,1184,1088,26368,0.0,0.0
1779643468.4651828,1,ML-KEM-768,ML-DSA-65,8747,1649,0.050815000122383935,1,0.025413000003027264,0.21298699994076742,1184,1088,26368,0.0,0.0
1779643468.4656386,2,ML-KEM-768,ML-DSA-65,8747,1649,0.044194000111019704,1,0.01616200006537838,0.12923599979330902,1184,1088,26368,0.0,0.0
1779643468.4661734,3,ML-KEM-768,ML-DSA-65,8747,1649,0.044845000047644135,1,0.018525999621488154,0.1478839999435877,1184,1088,26368,0.0,0.0
1779643468.466723,4,ML-KEM-768,ML-DSA-65,8747,1649,0.04556200019578682,1,0.017436000234738458,0.1546839998809446,1184,1088,26368,0.0,0.0
