ts_unix,alg_family,alg_name,alg_type,iteration,keygen_time_ms,sign_time_ms,verify_time_ms,sig_bytes,pk_bytes,verify_ok
1779465920.8592417,ECDSA,ECDSA-P256,classical,6,0.015229000382532831,0.03965999985666713,0.08062199958658312,71,65,1
1779465920.8593924,ECDSA,ECDSA-P256,classical,7,0.018179999642597977,0.0357449998773518,0.07698399986111326,71,65,1
1779465920.8595326,ECDSA,ECDSA-P256,classical,8,0.015263999557646457,0.03278800068073906,0.07491499945899704,70,65,1
1779465920.8596735,ECDSA,ECDSA-P256,classical,9,0.015091999557625968,0.034765000236802734,0.07591199937451165,71,65,1
1779465920.859822,ECDSA,ECDSA-P256,classical,10,0.015506000636378303,0.03190600000380073,0.07433600057993317,70,65,1
1779465920.8599746,ECDSA,ECDSA-P256,classical,11,0.019500999769661576,0.03585400008887518,0.07704600011493312,71,65,1
1779465920.8601143,ECDSA,ECDSA-P256,classical,12,0.015355999494204298,0.033135999728983734,0.07486899994546548,70,65,1
1779465920.8602538,ECDSA,ECDSA-P256,classical,13,0.015841999811527785,0.03292300061730202,0.07522299983975245,72,65,1
1779465920.8603914,ECDSA,ECDSA-P256,classical,14,0.01503000021330081,0.03258099968661554,0.07465799990313826,71,65,1
1779465920.8605273,ECDSA,ECDSA-P256,classical,15,0.014938000276742969,0.032156999623111915,0.07392699990305118,71,65,1
1779465920.8606637,ECDSA,ECDSA-P256,classical,16,0.014360000022861641,0.03205699977115728,0.07487099992431467,70,65,1
1779465920.8607984,ECDSA,ECDSA-P256,classical,17,0.014467000255535822,0.032110999200085644,0.07412499962811125,71,65,1
1779465920.8609333,ECDSA,ECDSA-P256,classical,18,0.01463999979023356,0.03185300010954961,0.07422700036840979,71,65,1
1779465920.86107,ECDSA,ECDSA-P256,classical,19,0.014772999747947324,0.032451000151922926,0.07526900026277872,70,65,1
1779465920.8612063,ECDSA,ECDSA-P256,classical,20,0.015143000382522587,0.03229100002499763,0.07476300015696324,71,65,1
1779465920.8614068,ECDSA,ECDSA-P256,classical,21,0.021880000531382393,0.03737699989869725,0.07640000058017904,71,65,1
1779465920.8615487,ECDSA,ECDSA-P256,classical,22,0.015970999811543152,0.03247600034228526,0.07496299986087251,70,65,1
1779465920.8616862,ECDSA,ECDSA-P256,classical,23,0.014745999578735791,0.03249000019422965,0.07485300011467189,71,65,1
1779465920.8618226,ECDSA,ECDSA-P256,classical,24,0.015412000720971264,0.03216900040570181,0.07418899986078031,71,65,1
1779465920.8619595,ECDSA,ECDSA-P256,classical,25,0.014579999515262898,0.03207700046914397,0.07593800000904594,70,65,1
1779465920.8621156,ECDSA,ECDSA-P256,classical,26,0.015116000213311054,0.03709700013132533,0.07701000049564755,70,65,1
1779465920.8622591,ECDSA,ECDSA-P256,classical,27,0.01725899983284762,0.032437999834655784,0.07488399933208711,72,65,1
1779465920.8623989,ECDSA,ECDSA-P256,classical,28,0.015639999219274614,0.032683999961591326,0.07512599950132426,71,65,1
1779465920.8625405,ECDSA,ECDSA-P256,classical,29,0.01735299974825466,0.03360900063853478,0.0753819995225058,72,65,1
1779465920.8626778,ECDSA,ECDSA-P256,classical,30,0.015397000424854923,0.033209999855898786,0.07480699969164561,70,65,1
1779465920.862815,ECDSA,ECDSA-P256,classical,31,0.01656299991736887,0.03250699955970049,0.07424199975503143,70,65,1
1779465920.8629527,ECDSA,ECDSA-P256,classical,32,0.015186999917204957,0.032356999327021185,0.07596400064358022,71,65,1
1779465920.8630931,ECDSA,ECDSA-P256,classical,33,0.016381000023102388,0.0337370001943782,0.07605599967064336,72,65,1
1779465920.8632307,ECDSA,ECDSA-P256,classical,34,0.01557199993840186,0.032717000067350455,0.07505699977627955,72,65,1
1779465920.8633695,ECDSA,ECDSA-P256,classical,35,0.015396999515360221,0.03316000038466882,0.07482000000891276,70,65,1
1779465920.8635058,ECDSA,ECDSA-P256,classical,36,0.015048000022943597,0.032486000236531254,0.07448700034728972,70,65,1
1779465920.8636427,ECDSA,ECDSA-P256,classical,37,0.015116000213311054,0.032562999876972754,0.07498400009353645,72,65,1
1779465920.863797,ECDSA,ECDSA-P256,classical,38,0.014901000213285442,0.04317599996284116,0.08010199962882325,70,65,1
1779465920.8639457,ECDSA,ECDSA-P256,classical,39,0.01825800063670613,0.03509499947540462,0.07650700081285322,71,65,1
1779465920.8640847,ECDSA,ECDSA-P256,classical,40,0.016046999917307403,0.03285100046923617,0.07476500013581244,70,65,1
1779465920.864276,ECDSA,ECDSA-P256,classical,41,0.021032999939052388,0.04739300038636429,0.07956900026329095,70,65,1
1779465920.864422,ECDSA,ECDSA-P256,classical,42,0.018525000086810905,0.03409200053283712,0.07512699994549621,70,65,1
1779465920.86456,ECDSA,ECDSA-P256,classical,43,0.015372000234492589,0.03247099994041491,0.07487899983971147,72,65,1
1779465920.864806,ECDSA,ECDSA-P256,classical,44,0.03578999985620612,0.04717599949799478,0.08223399981943658,70,65,1
1779465920.8649602,ECDSA,ECDSA-P256,classical,45,0.01811499987525167,0.037774000702484045,0.07825299962860299,71,65,1
1779465920.8651044,ECDSA,ECDSA-P256,classical,46,0.018824000107997563,0.033584999982849695,0.07557899971288862,71,65,1
1779465920.8652442,ECDSA,ECDSA-P256,classical,47,0.015094999980647117,0.03345599998283433,0.07574699975521071,70,65,1
1779465920.8653815,ECDSA,ECDSA-P256,classical,48,0.015433000044140499,0.03235099939047359,0.07491100041079335,71,65,1
1779465920.8655176,ECDSA,ECDSA-P256,classical,49,0.015272999917215202,0.03244500021537533,0.07398899924737634,70,65,1
1779465920.865653,ECDSA,ECDSA-P256,classical,50,0.014610999642172828,0.03215099968656432,0.07433700011461042,72,65,1
1779465920.865789,ECDSA,ECDSA-P256,classical,51,0.01448500006517861,0.03250999998272164,0.07475300026271725,72,65,1
1779465920.8659232,ECDSA,ECDSA-P256,classical,52,0.01446799979021307,0.03188599930581404,0.07403499967040261,71,65,1
1779465920.8660734,ECDSA,ECDSA-P256,classical,53,0.014678999832540285,0.03191999985574512,0.08854200041241711,70,65,1
1779465920.8662252,ECDSA,ECDSA-P256,classical,54,0.018861999706132337,0.036206000004312955,0.07686899971304229,72,65,1
1779465920.8663628,ECDSA,ECDSA-P256,classical,55,0.015069999790284783,0.032670000109646935,0.07454800015693763,71,65,1
1779465920.8664987,ECDSA,ECDSA-P256,classical,56,0.014663000001746695,0.03240500063839136,0.07440699937433237,71,65,1
1779465920.866634,ECDSA,ECDSA-P256,classical,57,0.01451700063626049,0.03212000046914909,0.07433700011461042,72,65,1
1779465920.8667715,ECDSA,ECDSA-P256,classical,58,0.014901000213285442,0.033510000321257394,0.07481000011466676,71,65,1
1779465920.866913,ECDSA,ECDSA-P256,classical,59,0.014790000022912864,0.03271099922130816,0.07963400003063725,71,65,1
1779465920.8670592,ECDSA,ECDSA-P256,classical,60,0.01574199995957315,0.03447300059633562,0.08102799984044395,72,65,1
1779465920.8672452,ECDSA,ECDSA-P256,classical,61,0.02517000029911287,0.036655999792856164,0.07695900058024563,70,65,1
1779465920.867386,ECDSA,ECDSA-P256,classical,62,0.015290000192180742,0.03266000021540094,0.0748249995012884,72,65,1
1779465920.8675222,ECDSA,ECDSA-P256,classical,63,0.014937999367248267,0.03199300044798292,0.07415999971271958,71,65,1
1779465920.867658,ECDSA,ECDSA-P256,classical,64,0.015016000361356419,0.03200599985575536,0.07432300026266603,72,65,1
1779465920.8677933,ECDSA,ECDSA-P256,classical,65,0.0147319997267914,0.03186800040566595,0.07461899986083154,70,65,1
1779465920.8679276,ECDSA,ECDSA-P256,classical,66,0.014430999726755545,0.031863000003795605,0.07400300000881543,71,65,1
1779465920.8680863,ECDSA,ECDSA-P256,classical,67,0.019336000150360633,0.03522499991959194,0.07506699967052555,71,65,1
1779465920.868223,ECDSA,ECDSA-P256,classical,68,0.01468800019210903,0.03224699958082056,0.07434700000885641,71,65,1
1779465920.8683782,ECDSA,ECDSA-P256,classical,69,0.02554399998189183,0.036018000173498876,0.07530000038968865,70,65,1
1779465920.8685174,ECDSA,ECDSA-P256,classical,70,0.015984999663487542,0.032236000151897315,0.07422700036840979,71,65,1
1779465920.868653,ECDSA,ECDSA-P256,classical,71,0.014738000572833698,0.03227900015190244,0.07409499994537327,72,65,1
1779465920.8687873,ECDSA,ECDSA-P256,classical,72,0.014260999705584254,0.0318729998980416,0.07356399964919547,71,65,1
1779465920.868921,ECDSA,ECDSA-P256,classical,73,0.014313000065158121,0.03162200027873041,0.07355500019912142,70,65,1
1779465920.8690557,ECDSA,ECDSA-P256,classical,74,0.014473000192083418,0.03199200000381097,0.07409899990307167,70,65,1
1779465920.8692038,ECDSA,ECDSA-P256,classical,75,0.023937000150908716,0.03395299972908106,0.07388199992419686,72,65,1
1779465920.8693407,ECDSA,ECDSA-P256,classical,76,0.015015999451861717,0.03208399994036881,0.07411400019918801,71,65,1
1779465920.8694768,ECDSA,ECDSA-P256,classical,77,0.014764000297873281,0.03204400036338484,0.07421999998769024,70,65,1
1779465920.8696122,ECDSA,ECDSA-P256,classical,78,0.014757999451830983,0.03185599962307606,0.07477999952243408,71,65,1
1779465920.8697474,ECDSA,ECDSA-P256,classical,79,0.014369000382430386,0.03205499979230808,0.07446700055879774,72,65,1
1779465920.8698828,ECDSA,ECDSA-P256,classical,80,0.014582999938284047,0.032268000722979195,0.07430299956467934,72,65,1
1779465920.870052,ECDSA,ECDSA-P256,classical,81,0.019951000467699487,0.03619299968704581,0.07587299933220493,71,65,1
1779465920.8702075,ECDSA,ECDSA-P256,classical,82,0.015732999600004405,0.04198600072413683,0.07963000007293886,72,65,1
1779465920.8703535,ECDSA,ECDSA-P256,classical,83,0.017809999917517416,0.03414799994061468,0.07521499992435565,71,65,1
1779465920.8704915,ECDSA,ECDSA-P256,classical,84,0.015314999473048374,0.03296799968666164,0.07444499988196185,71,65,1
1779465920.8706284,ECDSA,ECDSA-P256,classical,85,0.01490500017098384,0.03227799970773049,0.07479900068574352,72,65,1
1779465920.870765,ECDSA,ECDSA-P256,classical,86,0.015157000234466977,0.03181100055371644,0.07504499990318436,70,65,1
1779465920.8709018,ECDSA,ECDSA-P256,classical,87,0.014870000086375512,0.032620999263599515,0.07480600015696837,71,65,1
1779465920.8710382,ECDSA,ECDSA-P256,classical,88,0.014848999853711575,0.03261900019424502,0.0746690002415562,72,65,1
1779465920.8711731,ECDSA,ECDSA-P256,classical,89,0.014477000149781816,0.031959000807546545,0.07458199979737401,70,65,1
1779465920.8713083,ECDSA,ECDSA-P256,classical,90,0.014493999515252654,0.032130000363395084,0.07448100041074213,71,65,1
1779465920.871443,ECDSA,ECDSA-P256,classical,91,0.014346999705594499,0.03222800023650052,0.0742800002626609,70,65,1
1779465920.8715777,ECDSA,ECDSA-P256,classical,92,0.014620000001741573,0.03187400034221355,0.07448300038959133,71,65,1
1779465920.8717117,ECDSA,ECDSA-P256,classical,93,0.014595999346056487,0.0318749998768908,0.07390799964923644,71,65,1
1779465920.8718474,ECDSA,ECDSA-P256,classical,94,0.014512999769067392,0.03203200049028965,0.0745269999242737,71,65,1
1779465920.871982,ECDSA,ECDSA-P256,classical,95,0.014477999684459064,0.031941000088409055,0.07425999956467422,72,65,1
1779465920.8721163,ECDSA,ECDSA-P256,classical,96,0.014481999642157461,0.03174300036334898,0.07423500028380658,71,65,1
1779465920.8722503,ECDSA,ECDSA-P256,classical,97,0.014456999451795127,0.03177399958076421,0.07369699960690923,72,65,1
1779465920.8724067,ECDSA,ECDSA-P256,classical,98,0.014365999959409237,0.03748299968719948,0.07788399943819968,71,65,1
1779465920.8725505,ECDSA,ECDSA-P256,classical,99,0.016558999959670473,0.03326400019432185,0.07556099990324583,71,65,1
1779465920.872714,ECDSA,ECDSA-P256,classical,100,0.03129899960185867,0.036794999687117524,0.07651800024177646,71,65,1
1779465920.8799822,ML-DSA,ML-DSA-44,pqc,1,5.760424000072817,0.16603200037934585,0.04211800023767864,2420,1312,1
1779465920.880174,ML-DSA,ML-DSA-44,pqc,2,0.03247699987696251,0.06675999975414015,0.027580000278248917,2420,1312,1
1779465920.8803484,ML-DSA,ML-DSA-44,pqc,3,0.02748200040514348,0.09634600064600818,0.026046000130008906,2420,1312,1
1779465920.880507,ML-DSA,ML-DSA-44,pqc,4,0.025723000362631865,0.08436100051767426,0.026525000066612847,2420,1312,1
1779465920.8806336,ML-DSA,ML-DSA-44,pqc,5,0.025768000341486186,0.05420399975264445,0.02585299989732448,2420,1312,1
1779465920.8808546,ML-DSA,ML-DSA-44,pqc,6,0.02523500006645918,0.10156999996979721,0.04266799987817649,2420,1312,1
1779465920.8810341,ML-DSA,ML-DSA-44,pqc,7,0.04629199975170195,0.06279099943640176,0.026104999960807618,2420,1312,1
1779465920.881143,ML-DSA,ML-DSA-44,pqc,8,0.025913000172295142,0.035046000448346604,0.025561999791534618,2420,1312,1
1779465920.881283,ML-DSA,ML-DSA-44,pqc,9,0.025541000468365382,0.06573300015588757,0.02541599951655371,2420,1312,1
1779465920.8814104,ML-DSA,ML-DSA-44,pqc,10,0.02537099953769939,0.05625399990094593,0.02515800042601768,2420,1312,1
1779465920.8815577,ML-DSA,ML-DSA-44,pqc,11,0.024947999918367714,0.06888100051583024,0.02804199993988732,2420,1312,1
1779465920.8817282,ML-DSA,ML-DSA-44,pqc,12,0.027475000024423935,0.0902559995665797,0.025919000108842738,2420,1312,1
1779465920.881836,ML-DSA,ML-DSA-44,pqc,13,0.02591599968582159,0.03462000040599378,0.02612799926282605,2420,1312,1
1779465920.882119,ML-DSA,ML-DSA-44,pqc,14,0.030259999221016187,0.09991400020226138,0.0266760007434641,2420,1312,1
1779465920.882264,ML-DSA,ML-DSA-44,pqc,15,0.026169999728153925,0.06773999939468922,0.02560499979153974,2420,1312,1
1779465920.8823948,ML-DSA,ML-DSA-44,pqc,16,0.025818000722210854,0.05744200007029576,0.025997999728133436,2420,1312,1
1779465920.8826153,ML-DSA,ML-DSA-44,pqc,17,0.025780000214581378,0.14968099912948674,0.02516799941076897,2420,1312,1
1779465920.8827722,ML-DSA,ML-DSA-44,pqc,18,0.03162800021527801,0.04680700021708617,0.02791499991872115,2420,1312,1
1779465920.8828974,ML-DSA,ML-DSA-44,pqc,19,0.025663000087661203,0.04718200034403708,0.026310999601264484,2420,1312,1
1779465920.8830402,ML-DSA,ML-DSA-44,pqc,20,0.027143999432155397,0.06434399983845651,0.026308000087738037,2420,1312,1
1779465920.8832288,ML-DSA,ML-DSA-44,pqc,21,0.03184300021530362,0.05702899943571538,0.026448999960848596,2420,1312,1
1779465920.8833423,ML-DSA,ML-DSA-44,pqc,22,0.026927999897452537,0.03588999970816076,0.026461999368621036,2420,1312,1
1779465920.8834598,ML-DSA,ML-DSA-44,pqc,23,0.025432000256842002,0.04402000013215002,0.025749000087671448,2420,1312,1
1779465920.8835747,ML-DSA,ML-DSA-44,pqc,24,0.025769999410840683,0.04360000002634479,0.025811999876168557,2420,1312,1
1779465920.8836796,ML-DSA,ML-DSA-44,pqc,25,0.025287999960710295,0.03493100030027563,0.0251259998549358,2420,1312,1
1779465920.8837953,ML-DSA,ML-DSA-44,pqc,26,0.025128999368462246,0.04470200019568438,0.025560999347362667,2420,1312,1
1779465920.8839042,ML-DSA,ML-DSA-44,pqc,27,0.026781000087794382,0.03640200066001853,0.02573100027802866,2420,1312,1
1779465920.884054,ML-DSA,ML-DSA-44,pqc,28,0.0262869998550741,0.07720799931121292,0.025586999981896952,2420,1312,1
1779465920.8841634,ML-DSA,ML-DSA-44,pqc,29,0.02599299932626309,0.0357550006810925,0.02544599919929169,2420,1312,1
1779465920.884379,ML-DSA,ML-DSA-44,pqc,30,0.026231000447296537,0.13319000026967842,0.029159999940020498,2420,1312,1
