ts_unix,iteration,kem_alg,sig_alg,hello_bytes,response_bytes,kem_keygen_ms,sig_keygen_ms,sign_time_ms,decaps_time_ms,sender_total_ms,shared_secret_match,kem_pk_bytes,mem_send_rss_kb,cpu_send_user_ms,cpu_send_sys_ms
1779643468.1622036,19,ML-KEM-512,SPHINCS+-SHA2-128s-simple,11756,1222,0.01569500000186963,16.383734000100958,124.16597599985835,0.012984000022697728,141.2875080000049,1,800,25856,139.9999999999997,0.0
1779643468.3067975,20,ML-KEM-512,SPHINCS+-SHA2-128s-simple,11756,1222,0.01706200009721215,16.55525200021657,127.25424100017335,0.013200000012147939,144.49458699982642,1,800,25856,150.00000000000034,0.0
1779643468.3147883,1,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24063,1221,0.01735700016070041,0.2604510000310256,6.3921920000211685,0.014731000192114152,7.792853999944782,1,800,26368,9.999999999999787,0.0
1779643468.3219035,2,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24063,1221,0.01355700032945606,0.24686100005055778,5.772924999746465,0.01107500020225416,7.041835000109131,1,800,26368,10.000000000000231,0.0
1779643468.328643,3,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24063,1221,0.011189999895577785,0.23684600000706268,5.710686999918835,0.011496000297483988,6.677837000097497,1,800,26368,0.0,0.0
1779643468.3359282,4,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24063,1221,0.010805999863805482,0.26048600011563394,6.041582999841921,0.012898000022687484,7.218896999802382,1,800,26368,9.999999999999787,0.0
1779643468.3430927,5,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24063,1221,0.022453999918070622,0.2573490000941092,5.96373999997013,0.012817999959224835,7.0272709999699146,1,800,26368,10.000000000000231,0.0
1779643468.3508346,6,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24063,1221,0.013576000128523447,0.2793559997371631,6.554737999977078,0.013474999832396861,7.660744000077102,1,800,26368,0.0,0.0
1779643468.3584442,7,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24063,1221,0.013339999895833898,0.2909340000769589,6.453672000134247,0.014279999959398992,7.537391999903775,1,800,26368,9.999999999999787,0.0
1779643468.3660784,8,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24063,1221,0.011690000064845663,0.2706949999264907,6.504243000108545,0.014582999938284047,7.571462000214524,1,800,26368,10.000000000000231,0.0
1779643468.374263,9,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24063,1221,0.015521000022999942,0.2722189997257374,6.74278399992545,0.01595599997017416,8.054376000018237,1,800,26368,9.999999999999787,0.0
1779643468.3823624,10,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24064,1222,0.02627200001370511,0.29717600000367383,6.63121899970065,0.014286999885371188,7.8614590001961915,1,800,26368,10.000000000000231,0.0
1779643468.3904517,11,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24064,1222,0.013861000297765713,0.38640499997200095,6.513878000077966,0.013216999832366128,8.012609999695997,1,800,26368,0.0,0.0
1779643468.3982122,12,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24064,1222,0.01332099964201916,0.2606170000944985,6.466615999670466,0.0135689997478039,7.682769999973971,1,800,26368,9.999999999999787,0.0
1779643468.4057097,13,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24064,1222,0.01687300027697347,0.25458599975536345,6.166967000353907,0.014136000118014636,7.362528999692586,1,800,26368,9.999999999999787,0.0
1779643468.412912,14,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24064,1222,0.012986000001546927,0.2733970000008412,5.969355999695836,0.011821999578387477,7.12111900020318,1,800,26368,10.000000000000231,0.0
1779643468.4198253,15,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24064,1222,0.012713000160147203,0.2585239999461919,5.746289000398974,0.016402000255766325,6.798818000333995,1,800,26368,0.0,0.0
1779643468.4272072,16,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24064,1222,0.017519000266474904,0.24240799984909245,6.1506379997808835,0.013309000223671319,7.303369000055682,1,800,26368,9.999999999999787,0.0
1779643468.4344938,17,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24064,1222,0.020411999685165938,0.2581300000201736,5.968161000055261,0.012395999874570407,7.122280000203318,1,800,26368,10.000000000000231,0.0
1779643468.4416492,18,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24064,1222,0.011398000424378552,0.24505999999746564,6.005866000123206,0.010970999937853776,7.092554000337259,1,800,26368,9.999999999999787,0.0
1779643468.4484203,19,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24064,1222,0.011964999885094585,0.25258699997721124,5.634498000290478,0.014014000043971464,6.699405999825103,1,800,26368,0.0,0.0
1779643468.4561186,20,ML-KEM-512,SPHINCS+-SHA2-128f-simple,24064,1222,0.013021000086155254,0.27099499993710197,6.495606000044063,0.013657999716087943,7.631501000105345,1,800,26368,10.000000000000231,0.0
1779643468.4568706,1,ML-KEM-768,ML-DSA-44,6711,1649,0.10527999984333292,0.056953999774123076,0.11106500005553244,0.01718700013952912,0.5559219998758635,1,1184,26368,0.0,0.0
1779643468.4572315,2,ML-KEM-768,ML-DSA-44,6711,1649,0.015013999927759869,0.0252790000558889,0.050349000048299786,0.01625100003366242,0.3019689997927344,1,1184,26368,0.0,0.0
1779643468.4576426,3,ML-KEM-768,ML-DSA-44,6711,1649,0.014509999800793594,0.023950000013428507,0.05283499967845273,0.02476600002410123,0.3283870000814204,1,1184,26368,0.0,0.0
1779643468.4580238,4,ML-KEM-768,ML-DSA-44,6711,1649,0.016231000245170435,0.02534400027798256,0.07508999988203868,0.015588999758620048,0.3275980002399592,1,1184,26368,0.0,0.0
1779643468.4585161,5,ML-KEM-768,ML-DSA-44,6711,1649,0.018870000076276483,0.025521999759803293,0.13566300003731158,0.01588000031915726,0.3995310003119812,1,1184,26368,0.0,0.0
1779643468.4588473,6,ML-KEM-768,ML-DSA-44,6711,1649,0.0146570000651991,0.024183999812521506,0.036968000131309964,0.01609999981155852,0.27961300020251656,1,1184,26368,0.0,0.0
1779643468.45918,7,ML-KEM-768,ML-DSA-44,6711,1649,0.013996999769005924,0.02402299969617161,0.047136999910435406,0.01573999998072395,0.2840800002559263,1,1184,26368,0.0,0.0
1779643468.4595556,8,ML-KEM-768,ML-DSA-44,6711,1649,0.014504999853670597,0.02427099980195635,0.04874499973084312,0.01629899998079054,0.3266869998697075,1,1184,26368,0.0,0.0
1779643468.4600177,9,ML-KEM-768,ML-DSA-44,6711,1649,0.01861000009739655,0.0326499998664076,0.07475000029444345,0.018107999949279474,0.3720029999385588,1,1184,26368,0.0,0.0
1779643468.4604042,10,ML-KEM-768,ML-DSA-44,6712,1650,0.016093000340333674,0.027535000299394596,0.06737099965903326,0.01618899977984256,0.32919800014497014,1,1184,26368,0.0,0.0
1779643468.4607594,11,ML-KEM-768,ML-DSA-44,6712,1650,0.014629999895987567,0.024500000108673703,0.0660579999021138,0.01603500004421221,0.30716700030097854,1,1184,26368,0.0,0.0
1779643468.4610896,12,ML-KEM-768,ML-DSA-44,6712,1650,0.014254999769036658,0.024343999939446803,0.03730000025825575,0.01826900006562937,0.28155600011814386,1,1184,26368,0.0,0.0
1779643468.4615,13,ML-KEM-768,ML-DSA-44,6712,1650,0.01825399976951303,0.02582199977041455,0.03804200014201342,0.01701099972706288,0.32289499995385995,1,1184,26368,9.999999999999787,0.0
1779643468.462014,14,ML-KEM-768,ML-DSA-44,6712,1650,0.01870300002337899,0.025878000087686814,0.14957699977458105,0.01591099999131984,0.4125300001760479,1,1184,26368,0.0,0.0
1779643468.462359,15,ML-KEM-768,ML-DSA-44,6712,1650,0.014338999790197704,0.024322000172105618,0.057175000165443635,0.016201999642362352,0.29682900003535906,1,1184,26368,0.0,0.0
1779643468.462721,16,ML-KEM-768,ML-DSA-44,6712,1650,0.014510999790218193,0.02416100005575572,0.07017300004008575,0.016103000234579667,0.3142509999634058,1,1184,26368,0.0,0.0
1779643468.463171,17,ML-KEM-768,ML-DSA-44,6712,1650,0.017847999970399542,0.025494000055914512,0.10393700040367548,0.01594300010765437,0.3631079998740461,1,1184,26368,0.0,0.0
1779643468.4635339,18,ML-KEM-768,ML-DSA-44,6712,1650,0.014511999779642792,0.024525000299036037,0.03709600014190073,0.016200000118260505,0.3127889999632316,1,1184,26368,0.0,0.0
1779643468.4639392,19,ML-KEM-768,ML-DSA-44,6712,1650,0.014584999917133246,0.02413399988654419,0.08253299984062323,0.016707000213500578,0.3553960000317602,1,1184,26368,0.0,0.0
1779643468.4642735,20,ML-KEM-768,ML-DSA-44,6712,1650,0.015117000202735653,0.02521800024624099,0.03956199998356169,0.016243000118265627,0.2859080000234826,1,1184,26368,0.0,0.0
1779643468.4651816,1,ML-KEM-768,ML-DSA-65,8747,1649,0.031616999876860064,0.05843600001753657,0.12137000021539279,0.01754300001266529,0.6298980001702148,1,1184,26368,0.0,0.0
1779643468.4656374,2,ML-KEM-768,ML-DSA-65,8747,1649,0.017033999938576017,0.042427000153111294,0.07108699992386391,0.016636000054859323,0.39115100025810534,1,1184,26368,0.0,0.0
