ts_unix,alg_family,alg_name,seq,msg_id,body_bytes,stanza_bytes,pk_b64_bytes,sig_b64_bytes,sig_keygen_time_ms,sign_time_ms,serialize_time_ms,rtt_ms,net_baseline_rtt_ms,receipt_ok,mem_rss_kb,mem_delta_kb,cpu_user_ms,cpu_sys_ms
1779643432.5583158,ML-DSA,ML-DSA-65,40,de53516272e64b1a8e631eb234df9c9e,34,7368,2604,4412,0.1722130000416655,0.30502300023727,0.40511099996365374,7.862377000037668,2.311989200006792,1,35864,0,0.0,0.0
1779643432.6220639,ML-DSA,ML-DSA-65,41,d77303f12e8a41efa320a8402e3aca33,34,7368,2604,4412,0.09193699997922522,0.06977300017751986,0.25040300033651874,12.103532999844901,2.311989200006792,1,35864,0,0.0,0.0
1779643432.692091,ML-DSA,ML-DSA-65,42,17c4fda1120d4682b974d39f392fa299,34,7368,2604,4412,0.663097000142443,1.633332999972481,1.5076339996085153,13.515786000425578,2.311989200006792,1,35864,0,0.0,0.0
1779643432.7573721,ML-DSA,ML-DSA-65,43,49c3174c4464429ca8ff37a88dacada8,34,7368,2604,4412,0.2040060003309918,0.4696460000559455,0.665118999677361,12.729129000035755,2.311989200006792,1,35864,0,0.0,0.0
1779643432.8208141,ML-DSA,ML-DSA-65,44,49949a1321c74320ad0043c7eea05340,34,7368,2604,4412,0.23680999993302976,0.5598089996965427,0.7052049995763809,10.663690000001225,2.311989200006792,1,35864,0,0.0,0.0
1779643432.8860102,ML-DSA,ML-DSA-65,45,49705e13b0144efa896cd336f35cef05,34,7368,2604,4412,0.2621710000312305,0.2910540001721529,0.7695019999118813,12.355411000044114,2.311989200006792,1,35864,0,0.0,0.0
1779643432.9472888,ML-DSA,ML-DSA-65,46,f5627c506aa64051997cad2556cfb5cd,34,7368,2604,4412,0.2279909999742813,0.3100799999629089,0.6503690001409268,8.91387699994084,2.311989200006792,1,35864,0,0.0,0.0
1779643433.0112996,ML-DSA,ML-DSA-65,47,346f1d50919244d39fbc4b519f544599,34,7368,2604,4412,0.23979500019777333,0.33989599978667684,0.6294429999798012,11.540654999862454,2.311989200006792,1,35864,0,0.0,0.0
1779643433.0689502,ML-DSA,ML-DSA-65,48,56cb134ba19c415c94ebe245610a7ccc,34,7368,2604,4412,0.08245600020018173,0.09133200001087971,0.18344000000070082,6.689130999802728,2.311989200006792,1,35864,0,0.0,0.0
1779643433.1266832,ML-DSA,ML-DSA-65,49,a63213aa237444f48e79aec0fec21b28,34,7368,2604,4412,0.07755099977657665,0.08428199998888886,0.2258680001432367,6.835718999809615,2.311989200006792,1,35864,0,0.0,0.0
1779643433.1856942,ML-DSA,ML-DSA-65,50,3a83a3ff0efc47c39ba7020ab719a6cb,34,7368,2604,4412,0.1297210001212079,0.2553520002948062,0.31637299980502576,7.340153999848553,2.311989200006792,1,35864,0,0.0,0.0
1779643433.2436259,ML-DSA,ML-DSA-65,51,83a3fa1cefcf4229a1c016c762a3f27a,34,7368,2604,4412,0.0921239998206147,0.07587800018882263,0.18844300029741134,7.0513979999304865,2.311989200006792,1,35868,0,0.0,0.0
1779643433.305483,ML-DSA,ML-DSA-65,52,08eacb11ed4b4149977c95c2070564e4,34,7368,2604,4412,0.3340009998282767,0.27712200017049327,0.9531370001241157,8.702720000201225,2.311989200006792,1,35868,0,10.000000000000009,0.0
1779643433.3730385,ML-DSA,ML-DSA-65,53,fffc75b35bee4273b3c5e595878497d3,34,7368,2604,4412,0.25335800000902964,0.6914089999554562,0.9571089999553806,14.257092999741872,2.311989200006792,1,35868,0,0.0,0.0
1779643433.430431,ML-DSA,ML-DSA-65,54,87416b722a65494caa670965ad4ea87e,34,7368,2604,4412,0.08385999990423443,0.2799479998429888,0.1803519999157288,6.28340000002936,2.311989200006792,1,35868,0,0.0,0.0
1779643433.4926705,ML-DSA,ML-DSA-65,55,2983858012d04e2da423a2436dc848af,34,7368,2604,4412,0.26490700020076474,0.19124999971609213,0.26419599998916965,10.689717999866843,2.311989200006792,1,35868,0,0.0,0.0
1779643433.5537276,ML-DSA,ML-DSA-65,56,5fdec5d7aea44e40a28da22a44987ab7,34,7368,2604,4412,0.13523899997380795,0.21827599994139746,0.5980030000500847,9.374562000175501,2.311989200006792,1,35868,0,0.0,0.0
1779643433.6158047,ML-DSA,ML-DSA-65,57,4b7023655c0d439c9ba555129165c7ce,34,7368,2604,4412,0.08512199974575196,0.3823439997177047,0.282371000139392,10.459419999733655,2.311989200006792,1,35868,0,10.000000000000009,0.0
1779643433.6769953,ML-DSA,ML-DSA-65,58,73ee71ea42e740efbefaac4b47152c59,34,7368,2604,4412,0.18292799995833775,0.20640200000343611,0.3829990000667749,9.47958100005053,2.311989200006792,1,35868,0,0.0,0.0
1779643433.7355356,ML-DSA,ML-DSA-65,59,8e13a20f73804ea2898a3c771047dd39,34,7368,2604,4412,0.13552000018535182,0.25684499996714294,0.2428540001346846,6.946606999918004,2.311989200006792,1,35868,0,0.0,0.0
1779643433.798333,ML-DSA,ML-DSA-65,60,f2adb8f44d68448a8516bc92eedc2f12,34,7368,2604,4412,0.3154440000798786,0.7672180004192342,0.6967650001570291,9.460770999794477,2.311989200006792,1,35868,0,0.0,0.0
1779643433.872767,ML-DSA,ML-DSA-65,61,61838785f38048c2984588b569f17efd,34,7368,2604,4412,0.5888509999749658,0.5460480001602264,1.099672000236751,19.56714700008888,2.311989200006792,1,35868,0,0.0,0.0
1779643433.93971,ML-DSA,ML-DSA-65,62,9f6c332fa15d488697d933aa3058f958,34,7368,2604,4412,0.19722500019270228,0.2521189999242779,0.6756259999747272,14.330451000205358,2.311989200006792,1,35868,0,0.0,0.0
1779643433.9989457,ML-DSA,ML-DSA-65,63,841553785a904d06ab606f8172f71466,34,7368,2604,4412,0.09994099991672556,0.13071399962427677,0.2854650001609116,7.895374999861815,2.311989200006792,1,35868,0,0.0,0.0
1779643434.0583944,ML-DSA,ML-DSA-65,64,7a4ddd0590bc4d948acba005cd7e2b2f,34,7368,2604,4412,0.13093799998387112,0.6467110001722176,0.2786219997688022,7.5639570000021195,2.311989200006792,1,35868,0,0.0,0.0
1779643434.11719,ML-DSA,ML-DSA-65,65,4e269074d555407fa73379f818171dc0,34,7368,2604,4412,0.08336499968208955,0.08199500007322058,0.18436300024404773,7.853781999983767,2.311989200006792,1,35868,0,0.0,0.0
1779643434.17787,ML-DSA,ML-DSA-65,66,d8608576ba884e309dcb43f84b311d69,34,7368,2604,4412,0.18204199977844837,0.3127280001535837,0.3729700001713354,8.995904999665072,2.311989200006792,1,35868,0,0.0,0.0
1779643434.2384608,ML-DSA,ML-DSA-65,67,ac20ee10d5da4660b055a378b5ed9c06,34,7368,2604,4412,0.0959190001594834,0.09441100019103033,0.20626700006687315,8.93900199980635,2.311989200006792,1,35872,0,0.0,0.0
1779643434.300734,ML-DSA,ML-DSA-65,68,f820c303dc75444bbbcd0cf12aa520b3,34,7368,2604,4412,0.20166099966445472,0.2747080002336588,0.7168999995883496,10.005120000187162,2.311989200006792,1,35872,0,0.0,0.0
1779643434.3754656,ML-DSA,ML-DSA-65,69,169c063fd9574e609a0ee90f90a0e1e3,34,7368,2604,4412,0.24851400030456716,0.19220900003347197,0.5702240000573511,22.656392000044434,2.311989200006792,1,35872,0,0.0,0.0
1779643434.433888,ML-DSA,ML-DSA-65,70,7dd284e73f6740ae9477a009341c28ad,34,7368,2604,4412,0.1248520002263831,0.1810750000004191,0.26706300013756845,7.200674999694456,2.311989200006792,1,35872,0,0.0,0.0
1779643434.491952,ML-DSA,ML-DSA-65,71,1963a54029534c5488a93460f1288eef,34,7368,2604,4412,0.0811029999567836,0.13914300006945268,0.18482799987395993,7.042084999739018,2.311989200006792,1,35872,0,0.0,0.0
1779643434.5507872,ML-DSA,ML-DSA-65,72,4ae6cca5c94546209854f352bc4b55ba,34,7368,2604,4412,0.09839399990596576,0.23747800014461973,0.221853999846644,7.767268999941734,2.311989200006792,1,35872,0,0.0,0.0
1779643434.613516,ML-DSA,ML-DSA-65,73,ca1d30e61d1a421faeb46b24e509ab62,34,7368,2604,4412,0.38235000010899967,0.32672199995431583,0.4712489999292302,10.333099000035872,2.311989200006792,1,35872,0,0.0,0.0
