ts_unix,alg_family,alg_name,alg_type,iteration,keygen_time_ms,encaps_time_ms,decaps_time_ms,pk_bytes,ct_bytes,shared_secret_match
1779643523.2194479,ECDH,ECDH-P256,classical,29,0.014373999874806032,0.07517899985032273,0.06210199990164256,65,65,1
1779643523.2196155,ECDH,ECDH-P256,classical,30,0.014834000012342585,0.07512899992434541,0.06193200033521862,65,65,1
1779643523.2198343,ECDH,ECDH-P256,classical,31,0.027570999918680172,0.09101899968300131,0.06367600008161389,65,65,1
1779643523.2200086,ECDH,ECDH-P256,classical,32,0.017272000150114764,0.07549800011474872,0.062368000271817436,65,65,1
1779643523.220181,ECDH,ECDH-P256,classical,33,0.015191999864327954,0.07653000011487165,0.0631319999229163,65,65,1
1779643523.2203512,ECDH,ECDH-P256,classical,34,0.015953999991324963,0.07547700033683213,0.062447999880532734,65,65,1
1779643523.220519,ECDH,ECDH-P256,classical,35,0.014389999705599621,0.07517499989262433,0.062292000166053185,65,65,1
1779643523.2206879,ECDH,ECDH-P256,classical,36,0.014142000054562232,0.0761379997129552,0.06245199983823113,65,65,1
1779643523.220857,ECDH,ECDH-P256,classical,37,0.015202999747998547,0.07583599972349475,0.0621859999228036,65,65,1
1779643523.2210243,ECDH,ECDH-P256,classical,38,0.014215000192052685,0.07522699979745084,0.06228000029295799,65,65,1
1779643523.2211924,ECDH,ECDH-P256,classical,39,0.013978999959363136,0.0750690001041221,0.0631180000709719,65,65,1
1779643523.2213624,ECDH,ECDH-P256,classical,40,0.013963000128569547,0.07534199994552182,0.06363200009218417,65,65,1
1779643523.2215736,ECDH,ECDH-P256,classical,41,0.021846999970875913,0.08035599967115559,0.06912599974384648,65,65,1
1779643523.2217674,ECDH,ECDH-P256,classical,42,0.018619000002217945,0.08567199984099716,0.0677839998388663,65,65,1
1779643523.2219439,ECDH,ECDH-P256,classical,43,0.017826000203058356,0.07732500034762779,0.06213100004970329,65,65,1
1779643523.2221115,ECDH,ECDH-P256,classical,44,0.013562999811256304,0.07537500005128095,0.06204800001796684,65,65,1
1779643523.2222786,ECDH,ECDH-P256,classical,45,0.013646000297740102,0.07515100014643394,0.06202499980645371,65,65,1
1779643523.222446,ECDH,ECDH-P256,classical,46,0.013557999864133308,0.0755289997869113,0.06214499990164768,65,65,1
1779643523.2226136,ECDH,ECDH-P256,classical,47,0.013591999959317036,0.07541300010416307,0.06248600038816221,65,65,1
1779643523.2227807,ECDH,ECDH-P256,classical,48,0.013728999874729197,0.07524800003011478,0.0623430000814551,65,65,1
1779643523.2229486,ECDH,ECDH-P256,classical,49,0.013489999673765851,0.0759129998186836,0.06253999981709057,65,65,1
1779643523.223117,ECDH,ECDH-P256,classical,50,0.014551000276696868,0.07542499997725827,0.062042000081419246,65,65,1
1779643523.2234242,ML-KEM,ML-KEM-512,pqc,1,0.07876900008341181,0.029180000183259835,0.02129300037267967,800,768,1
1779643523.223494,ML-KEM,ML-KEM-512,pqc,2,0.012893000075564487,0.011613999959081411,0.010660000043571927,800,768,1
1779643523.2235448,ML-KEM,ML-KEM-512,pqc,3,0.009226000202033902,0.010134999683941714,0.00989499994830112,800,768,1
1779643523.2235923,ML-KEM,ML-KEM-512,pqc,4,0.008434999926976161,0.009152000075118849,0.009678999958850909,800,768,1
1779643523.2236385,ML-KEM,ML-KEM-512,pqc,5,0.008743999842408812,0.00949200011746143,0.009857999884843593,800,768,1
1779643523.2237003,ML-KEM,ML-KEM-512,pqc,6,0.008261999937531073,0.01981900004466297,0.011075999736931408,800,768,1
1779643523.2237499,ML-KEM,ML-KEM-512,pqc,7,0.009697999757918296,0.009619999673304847,0.00969500024439185,800,768,1
1779643523.2237952,ML-KEM,ML-KEM-512,pqc,8,0.00837600009617745,0.009344000318378676,0.009746000159793766,800,768,1
1779643523.2238412,ML-KEM,ML-KEM-512,pqc,9,0.00818900025478797,0.009191999652102822,0.009635999958845787,800,768,1
1779643523.223888,ML-KEM,ML-KEM-512,pqc,10,0.008755000180826755,0.009898999905999517,0.010291000307915965,800,768,1
1779643523.2239766,ML-KEM,ML-KEM-512,pqc,11,0.0125609999486187,0.011401999927329598,0.010837999980140012,800,768,1
1779643523.2240276,ML-KEM,ML-KEM-512,pqc,12,0.009454000064579304,0.009951000265573384,0.010225000096397707,800,768,1
1779643523.2240746,ML-KEM,ML-KEM-512,pqc,13,0.008556000011594733,0.009536000106891152,0.009956000212696381,800,768,1
1779643523.2241201,ML-KEM,ML-KEM-512,pqc,14,0.009464999948249897,0.009005999800137943,0.009596000381861813,800,768,1
1779643523.224165,ML-KEM,ML-KEM-512,pqc,15,0.008168000022124033,0.008999999863590347,0.009680999937700108,800,768,1
1779643523.2242086,ML-KEM,ML-KEM-512,pqc,16,0.007887999800004764,0.009145999683823902,0.009592999958840664,800,768,1
1779643523.2242522,ML-KEM,ML-KEM-512,pqc,17,0.0080650002018956,0.00908699985302519,0.009634999969421187,800,768,1
1779643523.2242963,ML-KEM,ML-KEM-512,pqc,18,0.008117000106722116,0.009096000212593935,0.009619000138627598,800,768,1
1779643523.2243404,ML-KEM,ML-KEM-512,pqc,19,0.00817400041341898,0.009147000127995852,0.009595999927114462,800,768,1
1779643523.224386,ML-KEM,ML-KEM-512,pqc,20,0.008244999662565533,0.009323000085714739,0.009678999958850909,800,768,1
1779643523.2245069,ML-KEM,ML-KEM-512,pqc,21,0.013580999620899092,0.01082399967344827,0.010008000117522897,800,768,1
1779643523.2245538,ML-KEM,ML-KEM-512,pqc,22,0.008397000328841386,0.00927299970499007,0.009698000212665647,800,768,1
1779643523.224598,ML-KEM,ML-KEM-512,pqc,23,0.00800199995865114,0.00904099988474627,0.009718000001157634,800,768,1
1779643523.2246423,ML-KEM,ML-KEM-512,pqc,24,0.007964999895193614,0.008931000138545642,0.009941000371327391,800,768,1
1779643523.224686,ML-KEM,ML-KEM-512,pqc,25,0.008207999599108007,0.009062000117410207,0.009576000138622476,800,768,1
1779643523.2247286,ML-KEM,ML-KEM-512,pqc,26,0.008160000106727239,0.008911999884730903,0.009484000202064635,800,768,1
1779643523.2247741,ML-KEM,ML-KEM-512,pqc,27,0.008583000180806266,0.009606999810785055,0.009806999969441677,800,768,1
1779643523.2248182,ML-KEM,ML-KEM-512,pqc,28,0.008309999884659192,0.009210000371240312,0.009919000149238855,800,768,1
1779643523.2248619,ML-KEM,ML-KEM-512,pqc,29,0.008046000402828213,0.00921400032893871,0.009610999768483452,800,768,1
1779643523.224906,ML-KEM,ML-KEM-512,pqc,30,0.008116000117297517,0.009125000360654667,0.010085000212711748,800,768,1
1779643523.2249835,ML-KEM,ML-KEM-512,pqc,31,0.011474000075395452,0.010319000011804746,0.009992999821406556,800,768,1
1779643523.225031,ML-KEM,ML-KEM-512,pqc,32,0.008423000053880969,0.009401000170328189,0.009840000075200805,800,768,1
1779643523.2250752,ML-KEM,ML-KEM-512,pqc,33,0.008166000043274835,0.009199000032822369,0.009734999821375823,800,768,1
