ts_unix,alg_family,alg_name,seq,msg_id,body_bytes,stanza_bytes,pk_b64_bytes,sig_b64_bytes,sign_time_ms,rtt_ms,receipt_ok
1770222582.6314852,ML-DSA,ML-DSA-65,28,cf28e64e016247419de0676665452671,34,7368,2604,4412,0.15170599999692058,2.9642629999671044,1
1770222582.685201,ML-DSA,ML-DSA-65,29,58d4c68eca824bd190c4a9dcc6aa46a1,34,7368,2604,4412,0.17485099988334696,2.6408510000237584,1
1770222582.7398558,ML-DSA,ML-DSA-65,30,73045621f7894ee4829adf2b872f02d2,34,7368,2604,4412,0.07974000004651316,3.7654029999885097,1
1770222582.793106,ML-DSA,ML-DSA-65,31,a886051095a54f6984c1f0282ae134aa,34,7368,2604,4412,0.1063959998646169,2.444676000095569,1
1770222582.8469565,ML-DSA,ML-DSA-65,32,65426137c4254824aa873df450692e6e,34,7368,2604,4412,0.1188290000300185,3.0680869999741844,1
1770222582.9003222,ML-DSA,ML-DSA-65,33,0d336b36f73a4fdd9bd8e33185240259,34,7368,2604,4412,0.21967599991512543,2.474131000099078,1
1770222582.955956,ML-DSA,ML-DSA-65,34,0cdff4c72b084bca886ad782d354a7bc,34,7368,2604,4412,0.2235039999050059,4.5435479999014206,1
1770222583.00974,ML-DSA,ML-DSA-65,35,e273f820a8d04502b24c289845fee688,34,7368,2604,4412,0.18955799987452338,2.846422000175153,1
1770222583.0634944,ML-DSA,ML-DSA-65,36,934095b8650047a3bf5e2f51b9368fa2,34,7368,2604,4412,0.14083599990044604,2.9430270001284953,1
1770222583.1162677,ML-DSA,ML-DSA-65,37,d5ca776c18f546b88608edd476e3151e,34,7368,2604,4412,0.1372059998629993,2.0280030000776605,1
1770222583.1704893,ML-DSA,ML-DSA-65,38,fa7f28b097d946788c36618a7b1004f9,34,7368,2604,4412,0.126731000136715,3.382398999974612,1
1770222583.2236874,ML-DSA,ML-DSA-65,39,686b539f4eac4fba9cc4b0c2eaba3e59,34,7368,2604,4412,0.09621799995329638,2.4446150000585476,1
