ts_unix,from,msg_id,alg,stanza_bytes,body_bytes,pk_b64_bytes,sig_b64_bytes,verify_time_ms,verify_ok
1770222583.4372053,emisor@localhost/f5rfdCvYqZ-d,8c9ecb0d46c148599f801077f75d05ad,ML-DSA-65,7405,34,2604,4412,0.08011599993551499,1
1770222583.4908674,emisor@localhost/f5rfdCvYqZ-d,2a63de3eac52411f81f425a37755f4fa,ML-DSA-65,7405,34,2604,4412,0.06605099997614161,1
1770222583.543417,emisor@localhost/f5rfdCvYqZ-d,5d693ec96313423caacf807ecb9457f5,ML-DSA-65,7405,34,2604,4412,0.06210400010786543,1
1770222583.5970883,emisor@localhost/f5rfdCvYqZ-d,5608e52522994f9799fef18de1bd7b24,ML-DSA-65,7405,34,2604,4412,0.06516100006592751,1
1770222583.6495967,emisor@localhost/f5rfdCvYqZ-d,732101db447d4ef1bfcd04b6f42a20e5,ML-DSA-65,7405,34,2604,4412,0.061462000076062395,1
1770222583.7030501,emisor@localhost/f5rfdCvYqZ-d,b0f0cdbca9da49da9608e7c83b76d075,ML-DSA-65,7405,34,2604,4412,0.0658339999972668,1
1770222583.7561243,emisor@localhost/f5rfdCvYqZ-d,a5d5879322c24d37acde0e49b5ff0f83,ML-DSA-65,7405,34,2604,4412,0.06338100001812563,1
1770222583.8096907,emisor@localhost/f5rfdCvYqZ-d,02f384c2986d4ee4ae599ddebd3b3aa7,ML-DSA-65,7405,34,2604,4412,0.0652200001240999,1
1770222583.86221,emisor@localhost/f5rfdCvYqZ-d,0d86d747003e4058af6f524b089d6dd5,ML-DSA-65,7405,34,2604,4412,0.06337100012387964,1
1770222583.915857,emisor@localhost/f5rfdCvYqZ-d,c2f39974a80249c18f0cabcad3196415,ML-DSA-65,7405,34,2604,4412,0.07062999998197483,1
1770222583.9684856,emisor@localhost/f5rfdCvYqZ-d,133727f3aaca45a5ab343f8c785bf232,ML-DSA-65,7405,34,2604,4412,0.06406300008166,1
1770222584.022062,emisor@localhost/f5rfdCvYqZ-d,2a55cb1098ff46088f3be1b7b47856b9,ML-DSA-65,7405,34,2604,4412,0.0781580001785187,1
1770222584.0745912,emisor@localhost/f5rfdCvYqZ-d,0c4f46bcef404a9ab61cf29359e7034a,ML-DSA-65,7405,34,2604,4412,0.061668999933317536,1
1770222584.1282063,emisor@localhost/f5rfdCvYqZ-d,945ff6df9ac442319818a89236d73d21,ML-DSA-65,7405,34,2604,4412,0.06563600004483305,1
1770222584.1808696,emisor@localhost/f5rfdCvYqZ-d,fc9e1b14d79a45a698f63358628fb73c,ML-DSA-65,7405,34,2604,4412,0.06292600005508575,1
1770222584.2345085,emisor@localhost/f5rfdCvYqZ-d,32dbdee37bc54a65929bab46ef5a43d1,ML-DSA-65,7405,34,2604,4412,0.06700100016132637,1
1770222584.2870672,emisor@localhost/f5rfdCvYqZ-d,766f3365a94c4df6b1d2b449d3fd7ace,ML-DSA-65,7405,34,2604,4412,0.059276000001773355,1
1770222584.3408172,emisor@localhost/f5rfdCvYqZ-d,70facbb0b08e498db4b904c6bcb196ca,ML-DSA-65,7405,34,2604,4412,0.07004700000834418,1
1770222584.393547,emisor@localhost/f5rfdCvYqZ-d,f46a3ae4558442589e6e82f9c6f83d59,ML-DSA-65,7405,34,2604,4412,0.06460700001298392,1
1770222584.4472976,emisor@localhost/f5rfdCvYqZ-d,f19547f476834e6d80a449cc41772205,ML-DSA-65,7405,34,2604,4412,0.06775299993933004,1
1770222584.5002277,emisor@localhost/f5rfdCvYqZ-d,9fda0a6c78f24d6183ca019f1037015a,ML-DSA-65,7405,34,2604,4412,0.07018600012997922,1
1770222584.5537982,emisor@localhost/f5rfdCvYqZ-d,477e39d0aacb48a092f5977df847731b,ML-DSA-65,7405,34,2604,4412,0.0701069998285675,1
1770222584.606241,emisor@localhost/f5rfdCvYqZ-d,6e6918373c934e54b1372fd2386bf093,ML-DSA-65,7405,34,2604,4412,0.061935999838169664,1
1770222584.6599061,emisor@localhost/f5rfdCvYqZ-d,fd36bc05741a486e9bcfb62b077391ae,ML-DSA-65,7405,34,2604,4412,0.06619000009777665,1
1770222584.7121654,emisor@localhost/f5rfdCvYqZ-d,f9e7673894af4311bd89ac42469a37b7,ML-DSA-65,7405,34,2604,4412,0.06210400010786543,1
1770222584.765653,emisor@localhost/f5rfdCvYqZ-d,51d0fe9245a24663960ea3e873eb00bd,ML-DSA-65,7405,34,2604,4412,0.06840399987595447,1
1770222584.8182285,emisor@localhost/f5rfdCvYqZ-d,17e316a7fa314263ba03496d62b48c85,ML-DSA-65,7405,34,2604,4412,0.06264700004976476,1
1770222584.8717637,emisor@localhost/f5rfdCvYqZ-d,c8d63b09191746a3b806ec66a28ced16,ML-DSA-65,7405,34,2604,4412,0.07924600004116655,1
1770222584.9243834,emisor@localhost/f5rfdCvYqZ-d,db455a0139f243c0a3017389dcde8a37,ML-DSA-65,7405,34,2604,4412,0.0640520001979894,1
1770222584.9779525,emisor@localhost/f5rfdCvYqZ-d,cd976ac1d1bf4137b37bf8cfb9a49168,ML-DSA-65,7405,34,2604,4412,0.06618799989155377,1
1770222585.0306647,emisor@localhost/f5rfdCvYqZ-d,fb4e523a528144c7a3006fe02dac7e18,ML-DSA-65,7405,34,2604,4412,0.06565400008184952,1
1770222585.0843768,emisor@localhost/f5rfdCvYqZ-d,bac9669e170a435082d1a03fdccc0b2e,ML-DSA-65,7405,34,2604,4412,0.0799389999883715,1
1770222585.1369352,emisor@localhost/f5rfdCvYqZ-d,7b2251d58972466e96f595e87c579264,ML-DSA-65,7405,34,2604,4412,0.06306199998107331,1
1770222585.1905003,emisor@localhost/f5rfdCvYqZ-d,964ebcf668454347bdbb7205d39100f9,ML-DSA-65,7405,34,2604,4412,0.06563500005540845,1
1770222585.2429812,emisor@localhost/f5rfdCvYqZ-d,8172067851c642d5b6c93d78b7f08871,ML-DSA-65,7405,34,2604,4412,0.06243899997571134,1
1770222585.296576,emisor@localhost/f5rfdCvYqZ-d,0bdeb4dc050842479f6b5a7178420b6e,ML-DSA-65,7405,34,2604,4412,0.07176700000854908,1
1770222585.3492203,emisor@localhost/f5rfdCvYqZ-d,4334c36f3cec4f81b215c73d588ad31c,ML-DSA-65,7405,34,2604,4412,0.06276499993873585,1
1770222585.4033227,emisor@localhost/f5rfdCvYqZ-d,5a1e167b623c4ae2bc34962b7ba2a8a7,ML-DSA-65,7405,34,2604,4412,0.08069000000432425,1
1770222585.4566867,emisor@localhost/f5rfdCvYqZ-d,720628cb74f1416283bba3a4207c0d69,ML-DSA-65,7405,34,2604,4412,0.07163899999795831,1
1770222585.5107374,emisor@localhost/f5rfdCvYqZ-d,40424eeb9ee64af6b247401e3696f264,ML-DSA-65,7405,34,2604,4412,0.11001000007127004,1
1770222585.56372,emisor@localhost/f5rfdCvYqZ-d,ced57c23ed3c4967b3e9df857dcc1eb6,ML-DSA-65,7405,34,2604,4412,0.06559500002367713,1
1770222585.6178086,emisor@localhost/f5rfdCvYqZ-d,9adeaadc159441e4bf88e5bfe05ffbf8,ML-DSA-65,7405,34,2604,4412,0.07602100004078238,1
1770222585.670709,emisor@localhost/f5rfdCvYqZ-d,7361463b149d4fbc8f449ae47c6908ca,ML-DSA-65,7405,34,2604,4412,0.06897699995533912,1
1770222585.7246876,emisor@localhost/f5rfdCvYqZ-d,69bfcb0d01b143a9b88d9e0e5fd8e842,ML-DSA-65,7405,34,2604,4412,0.092274000053294,1
1770222585.7777421,emisor@localhost/f5rfdCvYqZ-d,df82ce85ff354ac5b06ad65f5de6d2ae,ML-DSA-65,7405,34,2604,4412,0.06939299987607228,1
1770222585.8314443,emisor@localhost/f5rfdCvYqZ-d,616bfc7076624cd6905ee88bd0d71341,ML-DSA-65,7405,34,2604,4412,0.0805019999461365,1
1770222585.8844903,emisor@localhost/f5rfdCvYqZ-d,7f09bf297b7f491790324ebec5ed5c4c,ML-DSA-65,7405,34,2604,4412,0.0660010000501643,1
1770222585.938451,emisor@localhost/f5rfdCvYqZ-d,0b5c65d949f74c46b3ec27a0a798ca64,ML-DSA-65,7405,34,2604,4412,0.2041930001723813,1
1770222585.991419,emisor@localhost/f5rfdCvYqZ-d,a2d544507764405bba805381aed3783a,ML-DSA-65,7405,34,2604,4412,0.06548600003952743,1
1770222586.045071,emisor@localhost/f5rfdCvYqZ-d,5a3ea40e34034481ac441e4f09161c29,ML-DSA-65,7405,34,2604,4412,0.07192600014604977,1
1770222586.0982766,emisor@localhost/f5rfdCvYqZ-d,95a03a2d83ec4068bf9edebdd94e1525,ML-DSA-65,7405,34,2604,4412,0.0757929999508633,1
1770222586.1521745,emisor@localhost/f5rfdCvYqZ-d,547e59ddc0b3458f819087513f14efb3,ML-DSA-65,7405,34,2604,4412,0.07947299991428736,1
1770222586.204811,emisor@localhost/f5rfdCvYqZ-d,5d86dbace6f14441981db63998d26f3f,ML-DSA-65,7405,34,2604,4412,0.0625779998699727,1
1770222586.2584941,emisor@localhost/f5rfdCvYqZ-d,6b989c7fcace4b8d8e8229635fd976ff,ML-DSA-65,7405,34,2604,4412,0.06569400011358084,1
1770222586.311163,emisor@localhost/f5rfdCvYqZ-d,f4289c161f07418086e3df7ebb13fa54,ML-DSA-65,7405,34,2604,4412,0.1137890001245978,1
1770222586.3648508,emisor@localhost/f5rfdCvYqZ-d,b2dc424f0c6f43aaa2c6119ee18522a0,ML-DSA-65,7405,34,2604,4412,0.0669890000608575,1
1770222586.4176679,emisor@localhost/f5rfdCvYqZ-d,44e18350edf548f49c5cffefe6940cd8,ML-DSA-65,7405,34,2604,4412,0.06497200001831516,1
1770222586.4714673,emisor@localhost/f5rfdCvYqZ-d,99f4d4aaae3b45f9a9d50283bccaa547,ML-DSA-65,7406,35,2604,4412,0.10700300003918528,1
1770222586.7580278,emisor@localhost/f5rfdCvYqZ-d,29fbbb26270e4250958ea984567b6804,SPHINCS+-SHA2-128s-simple,10925,34,44,10476,0.34147700011999405,1
1770222587.0479136,emisor@localhost/f5rfdCvYqZ-d,a6c237bdedc547958c184aaf07c07df9,SPHINCS+-SHA2-128s-simple,10925,34,44,10476,0.27266600000075414,1
1770222587.337919,emisor@localhost/f5rfdCvYqZ-d,b0811ce2f8554f70a06bd3f9c2cb3295,SPHINCS+-SHA2-128s-simple,10925,34,44,10476,0.2613999999994121,1
1770222587.6379972,emisor@localhost/f5rfdCvYqZ-d,d010ead0cf544770a1cea066c388baff,SPHINCS+-SHA2-128s-simple,10925,34,44,10476,0.2649309999469551,1
1770222587.9280715,emisor@localhost/f5rfdCvYqZ-d,bbaccffee2d644aaa85f61823ce14d94,SPHINCS+-SHA2-128s-simple,10925,34,44,10476,0.3322170000501501,1
1770222588.2279725,emisor@localhost/f5rfdCvYqZ-d,ff56106134564c598a0678e08490cfed,SPHINCS+-SHA2-128s-simple,10925,34,44,10476,0.3002460000516294,1
1770222588.5179145,emisor@localhost/f5rfdCvYqZ-d,c5cf79791dc0467984edf53b9af73a1e,SPHINCS+-SHA2-128s-simple,10925,34,44,10476,0.29417199993986287,1
1770222588.8079445,emisor@localhost/f5rfdCvYqZ-d,e32e4bba4c0d474f9ce54a1cbb49e89b,SPHINCS+-SHA2-128s-simple,10925,34,44,10476,0.2951019998818083,1
1770222589.1079931,emisor@localhost/f5rfdCvYqZ-d,d2ac35757d7948aab0075f1e56de2a18,SPHINCS+-SHA2-128s-simple,10925,34,44,10476,0.33062500006053597,1
1770222589.4080575,emisor@localhost/f5rfdCvYqZ-d,3af841bc0f9946a29a5659cd337ded20,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2684240000689897,1
1770222589.6980484,emisor@localhost/f5rfdCvYqZ-d,b509aed736ae4f3486ad459f45d8c51e,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2754069998900377,1
1770222589.987985,emisor@localhost/f5rfdCvYqZ-d,7a1fc37e9dde4e35bdb0db2547895c30,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.27729600014936295,1
1770222590.278004,emisor@localhost/f5rfdCvYqZ-d,8936b95a441f4ed1badf1fd777cfa125,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2668989998255711,1
1770222590.5778255,emisor@localhost/f5rfdCvYqZ-d,e1e4d8ddb764427d917d6f45d3c91d8f,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.27061900004810013,1
1770222590.8679156,emisor@localhost/f5rfdCvYqZ-d,b91706abd7014ffca57d6e184d059d6c,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.27442800001153955,1
1770222591.1679647,emisor@localhost/f5rfdCvYqZ-d,6d77cbed4f25458db1bcfc897d4903ed,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2906610000081855,1
1770222591.4578993,emisor@localhost/f5rfdCvYqZ-d,afd760f08df74039aeb5c4faf8994817,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.2870200000870682,1
1770222591.7479186,emisor@localhost/f5rfdCvYqZ-d,28378b606f7a43459f7e9c567f58b1f8,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.27510999984770024,1
1770222592.0379386,emisor@localhost/f5rfdCvYqZ-d,669ce1ccdb704595939ccb8d9801fee4,SPHINCS+-SHA2-128s-simple,10926,35,44,10476,0.3113049999683426,1
